set,trial,P,W_t,t_c,end_position,success,width,height,target_speed
5,50,1000.0,130.0,0.0,832.5,1,900,400,15.0
6,1,2000.0,130.0,0.0,390.0,0,900,400,7.5
6,2,2000.0,130.0,0.0,787.5,0,900,400,7.5
6,3,2000.0,130.0,0.0,660.0,0,900,400,7.5
6,4,2000.0,130.0,0.0,15.0,0,900,400,7.5
6,5,2000.0,130.0,0.0,742.5,0,900,400,7.5
6,6,2000.0,130.0,0.0,750.0,0,900,400,7.5
6,7,2000.0,130.0,0.0,855.0,1,900,400,7.5
6,8,2000.0,130.0,0.0,817.5,0,900,400,7.5
6,9,2000.0,130.0,0.0,840.0,0,900,400,7.5
6,10,2000.0,130.0,0.0,855.0,1,900,400,7.5
6,11,2000.0,130.0,0.0,0.0,0,900,400,7.5
6,12,2000.0,130.0,0.0,795.0,0,900,400,7.5
6,13,2000.0,130.0,0.0,742.5,0,900,400,7.5
6,14,2000.0,130.0,0.0,832.5,0,900,400,7.5
6,15,2000.0,130.0,0.0,825.0,0,900,400,7.5
6,16,2000.0,130.0,0.0,825.0,0,900,400,7.5
6,17,2000.0,130.0,0.0,795.0,0,900,400,7.5
6,18,2000.0,130.0,0.0,742.5,0,900,400,7.5
6,19,2000.0,130.0,0.0,772.5,0,900,400,7.5
6,20,2000.0,130.0,0.0,810.0,0,900,400,7.5
6,21,2000.0,130.0,0.0,45.0,0,900,400,7.5
6,22,2000.0,130.0,0.0,840.0,0,900,400,7.5
6,23,2000.0,130.0,0.0,750.0,0,900,400,7.5
6,24,2000.0,130.0,0.0,720.0,0,900,400,7.5
6,25,2000.0,130.0,0.0,697.5,0,900,400,7.5
6,26,2000.0,130.0,0.0,697.5,0,900,400,7.5
6,27,2000.0,130.0,0.0,750.0,0,900,400,7.5
6,28,2000.0,130.0,0.0,757.5,0,900,400,7.5
6,29,2000.0,130.0,0.0,742.5,0,900,400,7.5
6,30,2000.0,130.0,0.0,735.0,0,900,400,7.5
6,31,2000.0,130.0,0.0,712.5,0,900,400,7.5
6,32,2000.0,130.0,0.0,810.0,0,900,400,7.5
6,33,2000.0,130.0,0.0,885.0,1,900,400,7.5
6,34,2000.0,130.0,0.0,862.5,1,900,400,7.5
6,35,2000.0,130.0,0.0,825.0,0,900,400,7.5
6,36,2000.0,130.0,0.0,855.0,1,900,400,7.5
6,37,2000.0,130.0,0.0,847.5,1,900,400,7.5
6,38,2000.0,130.0,0.0,810.0,0,900,400,7.5
6,39,2000.0,130.0,0.0,795.0,0,900,400,7.5
6,40,2000.0,130.0,0.0,795.0,0,900,400,7.5
6,41,2000.0,130.0,0.0,772.5,0,900,400,7.5
6,42,2000.0,130.0,0.0,720.0,0,900,400,7.5
6,43,2000.0,130.0,0.0,727.5,0,900,400,7.5
6,44,2000.0,130.0,0.0,735.0,0,900,400,7.5
6,45,2000.0,130.0,0.0,840.0,0,900,400,7.5
6,46,2000.0,130.0,0.0,885.0,1,900,400,7.5
6,47,2000.0,130.0,0.0,840.0,0,900,400,7.5
6,48,2000.0,130.0,0.0,817.5,0,900,400,7.5
6,49,2000.0,130.0,0.0,862.5,1,900,400,7.5
6,50,2000.0,130.0,0.0,817.5,0,900,400,7.5
7,1,1000.0,80.0,0.0,202.5,0,900,400,15.0
7,2,1000.0,80.0,0.0,892.5,1,900,400,15.0
7,3,1000.0,80.0,0.0,802.5,0,900,400,15.0
7,4,1000.0,80.0,0.0,607.5,0,900,400,15.0
7,5,1000.0,80.0,0.0,682.5,0,900,400,15.0
7,6,1000.0,80.0,0.0,712.5,0,900,400,15.0
7,7,1000.0,80.0,0.0,787.5,0,900,400,15.0
7,8,1000.0,80.0,0.0,832.5,1,900,400,15.0
7,9,1000.0,80.0,0.0,877.5,1,900,400,15.0
7,10,1000.0,80.0,0.0,892.5,1,900,400,15.0
7,11,1000.0,80.0,0.0,847.5,1,900,400,15.0
7,12,1000.0,80.0,0.0,802.5,0,900,400,15.0
7,13,1000.0,80.0,0.0,712.5,0,900,400,15.0
7,14,1000.0,80.0,0.0,637.5,0,900,400,15.0
7,15,1000.0,80.0,0.0,622.5,0,900,400,15.0
7,16,1000.0,80.0,0.0,757.5,0,900,400,15.0
7,17,1000.0,80.0,0.0,697.5,0,900,400,15.0
7,18,1000.0,80.0,0.0,742.5,0,900,400,15.0
7,19,1000.0,80.0,0.0,682.5,0,900,400,15.0
7,20,1000.0,80.0,0.0,622.5,0,900,400,15.0
7,21,1000.0,80.0,0.0,637.5,0,900,400,15.0
7,22,1000.0,80.0,0.0,682.5,0,900,400,15.0
7,23,1000.0,80.0,0.0,667.5,0,900,400,15.0
7,24,1000.0,80.0,0.0,667.5,0,900,400,15.0
7,25,1000.0,80.0,0.0,607.5,0,900,400,15.0
7,26,1000.0,80.0,0.0,772.5,0,900,400,15.0
7,27,1000.0,80.0,0.0,712.5,0,900,400,15.0
7,28,1000.0,80.0,0.0,547.5,0,900,400,15.0
7,29,1000.0,80.0,0.0,652.5,0,900,400,15.0
7,30,1000.0,80.0,0.0,652.5,0,900,400,15.0
7,31,1000.0,80.0,0.0,727.5,0,900,400,15.0
7,32,1000.0,80.0,0.0,682.5,0,900,400,15.0
7,33,1000.0,80.0,0.0,817.5,0,900,400,15.0
7,34,1000.0,80.0,0.0,757.5,0,900,400,15.0
7,35,1000.0,80.0,0.0,832.5,1,900,400,15.0
7,36,1000.0,80.0,0.0,772.5,0,900,400,15.0
7,37,1000.0,80.0,0.0,802.5,0,900,400,15.0
7,38,1000.0,80.0,0.0,847.5,1,900,400,15.0
7,39,1000.0,80.0,0.0,862.5,1,900,400,15.0
7,40,1000.0,80.0,0.0,847.5,1,900,400,15.0
7,41,1000.0,80.0,0.0,847.5,1,900,400,15.0
7,42,1000.0,80.0,0.0,802.5,0,900,400,15.0
7,43,1000.0,80.0,0.0,727.5,0,900,400,15.0
7,44,1000.0,80.0,0.0,862.5,1,900,400,15.0
7,45,1000.0,80.0,0.0,817.5,0,900,400,15.0
7,46,1000.0,80.0,0.0,682.5,0,900,400,15.0
7,47,1000.0,80.0,0.0,697.5,0,900,400,15.0
7,48,1000.0,80.0,0.0,757.5,0,900,400,15.0
7,49,1000.0,80.0,0.0,727.5,0,900,400,15.0
7,50,1000.0,80.0,0.0,652.5,0,900,400,15.0
8,1,2000.0,130.0,250.0,22.5,0,900,400,7.5
8,2,2000.0,130.0,250.0,577.5,0,900,400,7.5
8,3,2000.0,130.0,250.0,877.5,1,900,400,7.5
8,4,2000.0,130.0,250.0,862.5,1,900,400,7.5
8,5,2000.0,130.0,250.0,870.0,1,900,400,7.5
8,6,2000.0,130.0,250.0,855.0,1,900,400,7.5
8,7,2000.0,130.0,250.0,862.5,1,900,400,7.5
8,8,2000.0,130.0,250.0,862.5,1,900,400,7.5
8,9,2000.0,130.0,250.0,862.5,1,900,400,7.5
8,10,2000.0,130.0,250.0,840.0,0,900,400,7.5
8,11,2000.0,130.0,250.0,877.5,1,900,400,7.5
8,12,2000.0,130.0,250.0,870.0,1,900,400,7.5
8,13,2000.0,130.0,250.0,0.0,0,900,400,7.5
8,14,2000.0,130.0,250.0,855.0,1,900,400,7.5
8,15,2000.0,130.0,250.0,862.5,1,900,400,7.5
8,16,2000.0,130.0,250.0,862.5,1,900,400,7.5
8,17,2000.0,130.0,250.0,847.5,1,900,400,7.5
8,18,2000.0,130.0,250.0,862.5,1,900,400,7.5
8,19,2000.0,130.0,250.0,862.5,1,900,400,7.5
8,20,2000.0,130.0,250.0,855.0,1,900,400,7.5
8,21,2000.0,130.0,250.0,855.0,1,900,400,7.5
8,22,2000.0,130.0,250.0,847.5,1,900,400,7.5
8,23,2000.0,130.0,250.0,877.5,1,900,400,7.5
8,24,2000.0,130.0,250.0,862.5,1,900,400,7.5
8,25,2000.0,130.0,250.0,870.0,1,900,400,7.5
8,26,2000.0,130.0,250.0,885.0,1,900,400,7.5
8,27,2000.0,130.0,250.0,847.5,1,900,400,7.5
8,28,2000.0,130.0,250.0,855.0,1,900,400,7.5
8,29,2000.0,130.0,250.0,862.5,1,900,400,7.5
8,30,2000.0,130.0,250.0,862.5,1,900,400,7.5
8,31,2000.0,130.0,250.0,885.0,1,900,400,7.5
8,32,2000.0,130.0,250.0,870.0,1,900,400,7.5
8,33,2000.0,130.0,250.0,870.0,1,900,400,7.5
8,34,2000.0,130.0,250.0,862.5,1,900,400,7.5
8,35,2000.0,130.0,250.0,862.5,1,900,400,7.5
8,36,2000.0,130.0,250.0,862.5,1,900,400,7.5
8,37,2000.0,130.0,250.0,877.5,1,900,400,7.5
8,38,2000.0,130.0,250.0,877.5,1,900,400,7.5
8,39,2000.0,130.0,250.0,870.0,1,900,400,7.5
8,40,2000.0,130.0,250.0,862.5,1,900,400,7.5
8,41,2000.0,130.0,250.0,885.0,1,900,400,7.5
8,42,2000.0,130.0,250.0,855.0,1,900,400,7.5
8,43,2000.0,130.0,250.0,855.0,1,900,400,7.5
8,44,2000.0,130.0,250.0,870.0,1,900,400,7.5
8,45,2000.0,130.0,250.0,885.0,1,900,400,7.5
8,46,2000.0,130.0,250.0,877.5,1,900,400,7.5
8,47,2000.0,130.0,250.0,862.5,1,900,400,7.5
8,48,2000.0,130.0,250.0,855.0,1,900,400,7.5
