completion_time,trial,condition,distance,shift_x,shift_y,start_x,start_y,cursor_endpoint_x,cursor_endpoint_y,target_x,target_y,target_to_endpoint_x,target_to_endpoint_y
650.0,258,258,355,105,-105,585,435,895,467,940,435,-45,32
301.0,259,76,33,-105,-105,375,435,422,435,408,435,14,0
548.0,260,209,262,105,105,585,645,821,644,847,645,-26,-1
550.0,261,201,262,105,105,585,645,824,647,847,645,-23,2
450.0,262,85,69,105,105,585,645,652,644,654,645,-2,-1
369.0,263,92,69,105,-105,585,435,641,442,654,435,-13,7
582.0,264,139,119,105,-105,585,435,722,438,704,435,18,3
334.0,265,67,33,-105,105,375,645,393,644,408,645,-15,-1
952.0,266,178,183,105,-105,585,435,745,439,768,435,-23,4
599.0,267,188,183,-105,105,375,645,525,643,558,645,-33,-2
665.0,268,268,355,-105,105,375,645,692,652,730,645,-38,7
767.0,269,180,183,-105,105,375,645,587,650,558,645,29,5
566.0,270,164,183,105,105,585,645,751,648,768,645,-17,3
618.0,271,226,262,-105,105,375,645,607,644,637,645,-30,-1
602.0,272,302,462,-105,105,375,645,765,652,837,645,-72,7
218.0,273,58,33,105,-105,585,435,615,435,618,435,-3,0
299.0,274,104,69,-105,105,375,645,462,650,444,645,18,5
164.0,275,9,12,105,105,585,645,594,647,597,645,-3,2
300.0,276,91,69,105,-105,585,435,664,436,654,435,10,1
467.0,277,121,119,105,105,585,645,694,645,704,645,-10,0
666.0,278,202,262,105,105,585,645,817,647,847,645,-30,2
599.0,279,352,583,-105,-105,375,435,896,437,958,435,-62,2
502.0,280,47,33,105,105,585,645,624,647,618,645,6,2
617.0,281,267,355,-105,105,375,645,735,647,730,645,5,2
366.0,282,61,33,-105,105,375,645,423,647,408,645,15,2
285.0,283,49,33,105,105,585,645,621,646,618,645,3,1
650.0,284,284,462,105,105,585,645,977,654,1047,645,-70,9
534.0,285,255,355,105,-105,585,435,831,434,940,435,-109,-1
469.0,286,248,355,105,105,585,645,954,641,940,645,14,-4
266.0,287,95,69,105,-105,585,435,672,434,654,435,18,-1
168.0,288,37,12,-105,-105,375,435,386,433,387,435,-1,-2
185.0,289,66,33,-105,105,375,645,413,650,408,645,5,5
599.0,290,291,462,105,-105,585,435,935,431,1047,435,-112,-4
150.0,291,147,119,-105,105,375,645,480,649,494,645,-14,4
567.0,292,212,262,105,-105,585,435,797,433,847,435,-50,-2
852.0,293,336,583,105,-105,585,435,1156,439,1168,435,-12,4
348.0,294,130,119,105,-105,585,435,720,438,704,435,16,3
348.0,295,295,462,105,-105,585,435,993,450,1047,435,-54,15
466.0,296,210,262,105,-105,585,435,832,435,847,435,-15,0
685.0,297,162,183,105,105,585,645,733,640,768,645,-35,-5
483.0,298,298,462,105,-105,585,435,999,473,1047,435,-48,38
266.0,299,181,183,-105,105,375,645,545,644,558,645,-13,-1
352.0,300,321,583,105,105,585,645,1160,616,1168,645,-8,-29
748.0,301,213,262,105,-105,585,435,831,433,847,435,-16,-2
637.0,302,299,462,105,-105,585,435,987,434,1047,435,-60,-1
