time,trial,condition,distance,shift_x,shift_y,start_x,start_y,cursor_x,cursor_y,target_x,target_y
227212.0,96,301,462,-105,105,375,645,391,653,837,645
227228.0,96,301,462,-105,105,375,645,390,652,837,645
227245.0,96,301,462,-105,105,375,645,388,652,837,645
227262.0,96,301,462,-105,105,375,645,386,651,837,645
227278.0,96,301,462,-105,105,375,645,384,650,837,645
227295.0,96,301,462,-105,105,375,645,384,649,837,645
227311.0,96,301,462,-105,105,375,645,383,649,837,645
227327.0,96,301,462,-105,105,375,645,382,648,837,645
227345.0,96,301,462,-105,105,375,645,380,648,837,645
227361.0,96,301,462,-105,105,375,645,379,647,837,645
227377.0,96,301,462,-105,105,375,645,379,647,837,645
227395.0,96,301,462,-105,105,375,645,379,647,837,645
227411.0,96,301,462,-105,105,375,645,379,647,837,645
227428.0,96,301,462,-105,105,375,645,379,647,837,645
227444.0,96,301,462,-105,105,375,645,379,647,837,645
227461.0,96,301,462,-105,105,375,645,379,647,837,645
227478.0,96,301,462,-105,105,375,645,379,647,837,645
227495.0,96,301,462,-105,105,375,645,379,647,837,645
227511.0,96,301,462,-105,105,375,645,379,647,837,645
227529.0,96,301,462,-105,105,375,645,379,647,837,645
227545.0,96,301,462,-105,105,375,645,379,647,837,645
227563.0,96,301,462,-105,105,375,645,379,647,837,645
227578.0,96,301,462,-105,105,375,645,379,647,837,645
227594.0,96,301,462,-105,105,375,645,379,647,837,645
227612.0,96,301,462,-105,105,375,645,379,647,837,645
227628.0,96,301,462,-105,105,375,645,379,647,837,645
227645.0,96,301,462,-105,105,375,645,379,647,837,645
227662.0,96,301,462,-105,105,375,645,379,647,837,645
227678.0,96,301,462,-105,105,375,645,379,647,837,645
227695.0,96,301,462,-105,105,375,645,379,647,837,645
227712.0,96,301,462,-105,105,375,645,379,647,837,645
227728.0,96,301,462,-105,105,375,645,379,647,837,645
227745.0,96,301,462,-105,105,375,645,379,647,837,645
227761.0,96,301,462,-105,105,375,645,379,647,837,645
227777.0,96,301,462,-105,105,375,645,379,647,837,645
227795.0,96,301,462,-105,105,375,645,380,647,837,645
227811.0,96,301,462,-105,105,375,645,387,647,837,645
227827.0,96,301,462,-105,105,375,645,402,646,837,645
227845.0,96,301,462,-105,105,375,645,424,646,837,645
227861.0,96,301,462,-105,105,375,645,481,646,837,645
227877.0,96,301,462,-105,105,375,645,537,646,837,645
227894.0,96,301,462,-105,105,375,645,601,646,837,645
227911.0,96,301,462,-105,105,375,645,668,646,837,645
227927.0,96,301,462,-105,105,375,645,736,646,837,645
227945.0,96,301,462,-105,105,375,645,790,646,837,645
227962.0,96,301,462,-105,105,375,645,829,646,837,645
227979.0,96,301,462,-105,105,375,645,848,646,837,645
227995.0,96,301,462,-105,105,375,645,853,647,837,645
228011.0,96,301,462,-105,105,375,645,853,647,837,645
228029.0,96,301,462,-105,105,375,645,853,647,837,645
228045.0,96,301,462,-105,105,375,645,854,647,837,645
228062.0,96,301,462,-105,105,375,645,854,647,837,645
228078.0,96,301,462,-105,105,375,645,854,647,837,645
228094.0,96,301,462,-105,105,375,645,854,647,837,645
228111.0,96,301,462,-105,105,375,645,854,647,837,645
228129.0,97,54,462,-105,105,375,645,854,647,837,645
228145.0,97,54,33,105,-105,585,435,854,647,618,435
228161.0,97,54,33,105,-105,585,435,854,647,618,435
228179.0,97,54,33,105,-105,585,435,854,647,618,435
228194.0,97,54,33,105,-105,585,435,854,647,618,435
228212.0,97,54,33,105,-105,585,435,854,647,618,435
228228.0,97,54,33,105,-105,585,435,854,647,618,435
228245.0,97,54,33,105,-105,585,435,854,647,618,435
228262.0,97,54,33,105,-105,585,435,854,647,618,435
228278.0,97,54,33,105,-105,585,435,854,647,618,435
228295.0,97,54,33,105,-105,585,435,854,647,618,435
228311.0,97,54,33,105,-105,585,435,854,647,618,435
228328.0,97,54,33,105,-105,585,435,854,647,618,435
228345.0,97,54,33,105,-105,585,435,854,647,618,435
228362.0,97,54,33,105,-105,585,435,854,647,618,435
228378.0,97,54,33,105,-105,585,435,854,647,618,435
228395.0,97,54,33,105,-105,585,435,853,647,618,435
228411.0,97,54,33,105,-105,585,435,849,646,618,435
228428.0,97,54,33,105,-105,585,435,837,641,618,435
228445.0,97,54,33,105,-105,585,435,803,622,618,435
228461.0,97,54,33,105,-105,585,435,767,603,618,435
228478.0,97,54,33,105,-105,585,435,730,584,618,435
228495.0,97,54,33,105,-105,585,435,701,569,618,435
228511.0,97,54,33,105,-105,585,435,686,552,618,435
228527.0,97,54,33,105,-105,585,435,681,527,618,435
228545.0,97,54,33,105,-105,585,435,681,503,618,435
228561.0,97,54,33,105,-105,585,435,681,488,618,435
228579.0,97,54,33,105,-105,585,435,681,485,618,435
228595.0,97,54,33,105,-105,585,435,680,485,618,435
228611.0,97,54,33,105,-105,585,435,679,485,618,435
228629.0,97,54,33,105,-105,585,435,676,485,618,435
228645.0,97,54,33,105,-105,585,435,665,483,618,435
228661.0,97,54,33,105,-105,585,435,659,478,618,435
228678.0,97,54,33,105,-105,585,435,652,472,618,435
228695.0,97,54,33,105,-105,585,435,645,463,618,435
228712.0,97,54,33,105,-105,585,435,637,457,618,435
228728.0,97,54,33,105,-105,585,435,626,452,618,435
228745.0,97,54,33,105,-105,585,435,615,449,618,435
228761.0,97,54,33,105,-105,585,435,602,448,618,435
228779.0,97,54,33,105,-105,585,435,592,447,618,435
228795.0,97,54,33,105,-105,585,435,586,446,618,435
228811.0,97,54,33,105,-105,585,435,585,445,618,435
228828.0,97,54,33,105,-105,585,435,585,445,618,435
228845.0,97,54,33,105,-105,585,435,585,445,618,435
228862.0,97,54,33,105,-105,585,435,585,445,618,435
228878.0,97,54,33,105,-105,585,435,585,445,618,435
228895.0,97,54,33,105,-105,585,435,585,445,618,435
228911.0,97,54,33,105,-105,585,435,585,445,618,435
228929.0,97,54,33,105,-105,585,435,585,445,618,435
228945.0,97,54,33,105,-105,585,435,585,445,618,435
228961.0,97,54,33,105,-105,585,435,585,444,618,435
228978.0,97,54,33,105,-105,585,435,585,444,618,435
228995.0,97,54,33,105,-105,585,435,585,443,618,435
